Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Star Caster,Do [sword]<d6> damage|On 6[;] inflict random status,2,attack(d); sfxdamage(target[;] d); var randstatus = rand([CURSE[;] LOCK[;] FIRE[;] ICE[;] WEAKEN[;] SHOCK[;] POISON[;] ~mqencase~]); if (d == 6) {inflict(randstatus); sfx(~_~ + randstatus.toLowerCase()[;] ~~[;] 0.2);},Stardust,EVEN,,PINK,change_power,change_power,,_magic,0,NO,NO,,,,,,,,,,,,,
Star Caster_upgraded,Do [sword]<d6> damage|Inflict a random status,2,attack(d); sfxdamage(target[;] d); var randstatus = rand([CURSE[;] LOCK[;] FIRE[;] ICE[;] WEAKEN[;] SHOCK[;] POISON[;] ~mqencase~]); inflict(randstatus); sfx(~_~ + randstatus.toLowerCase()[;] ~~[;] 0.2);,Stardust,EVEN,,PINK,,,,_magic,0,NO,NO,,,,,,,,,,,,,
Star Caster_downgraded,Do [sword]<d6> damage,2,attack(d); sfxdamage(target[;] d);,Stardust,EVEN,,PINK,change_power,change_power,,_magic,0,NO,NO,,,,,,,,,,,,,
Eclipsed Blade,Do [sword]<d6>[;] inflict [poison]2|Start with [poison]4 poison,2,attack(d); sfxdamage(target[;] d); inflict(POISON[;] 2);,Poison Arrow,NORMAL,,PURPLE,change_power,change_power,,_poison,0,NO,NO,,,inflictself(POISON[;] 4); sfx(~_poison~[;] ~~[;] 0.2);,,,,,,,,,,
Eclipsed Blade_upgraded,Do [sword]<d6>[;] inflict [poison]2|Start with [poison]3 poison,2,attack(d); sfxdamage(target[;] d); inflict(POISON[;] 2);,Poison Arrow,NORMAL,,PURPLE,,,,_poison,0,NO,NO,,,inflictself(POISON[;] 3); sfx(~_poison~[;] ~~[;] 0.2);,,,,,,,,,,
Eclipsed Blade_downgraded,Do [sword]<d6>[;] inflict [poison]2|Gain [poison]4 this turn,2,attack(d); sfxdamage(target[;] d); inflict(POISON[;] 2);,Poison Arrow,NORMAL,,PURPLE,,,,_poison,0,NO,NO,,,inflictself(POISON[;] 4); sfx(~_poison~[;] ~~[;] 0.2);,,,inflictself(POISON[;] 4); sfx(~_poison~[;] ~~[;] 0.2);,,,,,,,
Backwards Pistol,Take [sword]<double> damage|On [dodge]dodge[]: attack enemy,1,if (getstatusself(DODGE) <= 0) {attackself(d * 2); sfxdamage(self[;] d * 2);} else {removestatusself(DODGE); attack(d * 2); sfxdamage(target[;] d * 2);},Pea Gun,NORMAL,,PURPLE,add1,complicate,dodge,none,0,YES,NO,,,,,,,,,,,,,
Backwards Pistol?,Take [sword]<double> damage|On [dodge]dodge[]: attack enemy,1,if (getstatusself(DODGE) <= 0 # chance(50)) {attackself(d * 2); sfxdamage(self[;] d * 2);} else {removestatusself(DODGE); attack(d * 2); sfxdamage(target[;] d * 2);},Pea Gun,NORMAL,,PURPLE,add1,complicate,,none,0,YES,NO,alternateversion,,,,,,,,,,,,
Hellsteel Coating,Attacks [fire]burn this turn|[gray](once per battle),1,inflictself(~mqcoatingfire~);,Ember,EVEN,,RED,change_power,change_power,,_fire,0,YES,YES,,,,,,,,,,,,,
Hellsteel Coating_upgraded,Attacks [fire]burn this turn,1,inflictself(~mqcoatingfire~);,Ember,EVEN,,RED,,,,_fire,0,YES,NO,,,,,,,,,,,,,
Hellsteel Coating_downgraded,Inflict [fire]1 burn,1,inflict(FIRE);,Ember,EVEN,,RED,,,,_fire,0,NO,NO,,,,,,,,,,,,,
Moonstone Coating,Attacks [ice]freeze this turn|[gray](once per battle),1,inflictself(~mqcoatingice~);,Refrigerator,ODD,,BRIGHTCYAN,change_power,change_power,,_ice,0,YES,YES,,,,,,,,,,,,,
Moonstone Coating_upgraded,Attacks [ice]freeze this turn,1,inflictself(~mqcoatingice~);,Refrigerator,ODD,,BRIGHTCYAN,,,,_ice,0,YES,NO,,,,,,,,,,,,,
Moonstone Coating_downgraded,Inflict [ice]1 freeze,1,inflict(ICE);,Refrigerator,ODD,,BRIGHTCYAN,,,,_ice,0,NO,NO,,,,,,,,,,,,,
Lifesteel Coating,Attacks heal you this turn|[gray](once per battle),1,inflictself(~mqcoatingheal~);,Regenerate,ODD,,GREEN,change_power,change_power,,_heal,0,YES,YES,,,,,,,,,,,,,
Lifesteel Coating_upgraded,Attacks heal you this turn,1,inflictself(~mqcoatingheal~);,Regenerate,ODD,,GREEN,,,,_heal,0,YES,NO,,,,,,,,,,,,,
Lifesteel Coating_downgraded,Recover [heal]1 health,1,attackself(-1);,Regenerate,ODD,,GREEN,,,,_heal,0,YES,NO,,,,,,,,,,,,,
Ballistic Quartz,Do [sword]6 damage|Double random dice,2,attack(6); sfxdamage(target[;] 3); var dice = []; if (self.dicepool.length > 0) for (mydice in self.dicepool) if (simulation # mydice.available()) dice.push(mydice); if (dice.length >= 1) {var mydice = dice.pop(); var sum = 0; if (!simulation) {mydice.removedice(self.screenposition()); givedice(mydice.basevalue * 2);} else mydice.basevalue *= 2;},Magic Six,COUNTDOWN,8,GRAY,threequartercountdown,change_power,,none,0,NO,NO,,,,,,,,,,delay(1.0);,,,
Ballistic Quartz_downgraded,Do [sword]6 damage|Combine random dice,2,attack(6); sfxdamage(target[;] 3); var dice = []; if (self.dicepool.length > 0) {for (mydice in self.dicepool) if ((simulation # mydice.available()) && mydice.basevalue < 6) dice.push(mydice); if (dice.length < 2) {dice = []; for (mydice in self.dicepool) if (simulation # mydice.available()) dice.push(mydice);}} if (dice.length >= 2) {var combinedice = [dice.pop()[;] dice.pop()]; var sum = 0; for (mydice in combinedice) {if (!simulation) mydice.removedice(self.screenposition()); else mydice.basevalue = 0; sum += mydice.basevalue;} givedice(sum[;] ~combinedice~);},Magic Six,COUNTDOWN,8,GRAY,,,,none,0,NO,NO,,,,,,,,,,delay(1.0);,,,
Light of Enchantment,Make random equipment|easier to play,2,if (!simulation) {var vulnerableEquipment = []; for (eq in self.equipment) if (eq.skillcard == ~~ && !eq.hastag(~skillcard~) && eq.ready && eq.active) vulnerableEquipment.push(eq); vulnerableEquipment = shuffle(vulnerableEquipment); if (vulnerableEquipment.length > 0) for (i in 0...1) {if (vulnerableEquipment.length <= 0) break; var eq = vulnerableEquipment.pop(); runscript(~megaquest/makeequipmenteasiertoplay~[;] [eq]);}} else bonus(1000);,Reroll,ODD,,PINK,simplify,doublerequirements,,upgradeequipment,0,YES,NO,,,,,,,,,,,,,
Doom Herald,Do [sword]<d6> damage[;] if enemy|[heart] is below 50%[;] do [sword]<double>,2,var dmg = d; if (target.hp < target.maxhp * 0.5) dmg *= 2; attack(dmg); sfxdamage(target[;] dmg);,Plasma Gun,EVEN,,PURPLE,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,,
Doom Herald_upgraded,Do [sword]<d6> damage[;] if enemy|[heart] is below 75%[;] do [sword]<double>,2,var dmg = d; if (target.hp < target.maxhp * 0.75) dmg *= 2; attack(dmg); sfxdamage(target[;] dmg);,Plasma Gun,EVEN,,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,,
Doom Herald_downgraded,Do [sword]<d6> damage[;] if enemy|[heart] is below 25%[;] do [sword]<double>,2,var dmg = d; if (target.hp < target.maxhp * 0.25) dmg *= 2; attack(dmg); sfxdamage(target[;] dmg);,Plasma Gun,EVEN,,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,,
Panic Attack,Curse[;] do [sword]6 on last use|[gray](Reuseable),2,inflict(CURSE); if (e.usesleft <= 0) {attack(6); sfxdamage(target[;] 6);},Dramatic Pause,ODD,,PURPLE,change_power,change_power,,_curse,3,NO,NO,,,,,,,,,,,,,
Panic Attack_upgraded,Curse[;] do [sword]8 on last use|[gray](Reuseable),2,inflict(CURSE); if (e.usesleft <= 0) {attack(8); sfxdamage(target[;] 8);},Dramatic Pause,ODD,,PURPLE,,,,_curse,3,NO,NO,,,,,,,,,,,,,
Panic Attack_downgraded,Curse enemy|[gray](Reuseable),2,inflict(CURSE);,Dramatic Pause,ODD,,PURPLE,,,,_curse,3,NO,NO,,,,,,,,,,,,,
Boneyard,Reduce enemy max|HP by [heart]2,2,bonus(500); target.maxhp -= 2; if (target.hp > target.maxhp) target.hp = target.maxhp;,Plasma Gun,EVEN,,PURPLE,change_power,change_power,,_drain,0,NO,NO,,,,,,,,,,,,,
Boneyard_upgraded,Reduce enemy max|HP by [heart]3,2,bonus(500); target.maxhp -= 3; if (target.hp > target.maxhp) target.hp = target.maxhp;,Plasma Gun,EVEN,,PURPLE,,,,_drain,0,NO,NO,,,,,,,,,,,,,
Boneyard_downgraded,Reduce enemy max|HP by [heart]1,2,bonus(500); target.maxhp -= 1; if (target.hp > target.maxhp) target.hp = target.maxhp;,Plasma Gun,EVEN,,PURPLE,,,,none,0,NO,NO,,,,,,,,,,,,,
Afterburner,Burn [fire]<d6> dice|On 3[;] dodge next attack,2,inflict(FIRE[;] d); if (d == 3) {inflictself(DODGE); sfx(~_dodge~[;] ~~[;] 0.2);},Blowtorch,MAX3,,RED,change_power,change_power,,_fire,0,NO,NO,,,,,,,,,,,,,if (d == 3) {inflictself(DODGE); sfx(~_dodge~[;] ~~[;] 0.2);}
Afterburner_upgraded,Burn [fire]<d6> dice|On 4[;] dodge next attack,2,inflict(FIRE[;] d); if (d == 4) {inflictself(DODGE); sfx(~_dodge~[;] ~~[;] 0.2);},Blowtorch,MAX4,,RED,,,,_fire,0,NO,NO,,,,,,,,,,,,,if (d == 4) {inflictself(DODGE); sfx(~_dodge~[;] ~~[;] 0.2);}
Afterburner_downgraded,Burn [fire]<d6> dice,2,inflict(FIRE[;] d);,Blowtorch,MAX3,,RED,,,,_fire,0,NO,NO,,,,,,,,,,,,,
Ghastly Armor,Dodge next attack[;] attacks|reduce countdown by 4,1,inflictself(DODGE);,Quick Thinking,COUNTDOWN,24,YELLOW,change_power,change_power,,_dodge,0,YES,NO,,,inflictself(~mqghastlyarmor~);,,,,,,,,,,
Ghastly Armor_upgraded,Dodge next attack[;] attacks|reduce countdown by 5,1,inflictself(DODGE);,Quick Thinking,COUNTDOWN,24,YELLOW,,,,_dodge,0,YES,NO,,,inflictself(~mqghastlyarmor~);,,,,,,,,,,
Ghastly Armor_downgraded,Dodge next attack,1,inflictself(DODGE);,Quick Thinking,COUNTDOWN,24,YELLOW,,,,_dodge,0,YES,NO,,,inflictself(~mqghastlyarmor~);,,,,,,,,,,
Roller Blade,Do [sword]<d6> damage[;] on 1[;]|dodge next attack instead,2,if (d != 1) {attack(d); sfxdamage(target[;] d);} else {bonus(1000); inflictself(DODGE); sfx(~_dodge~);},Quick Thinking,ODD,,PINK,simplify,change_power,,_metals,0,NO,NO,,,,,,,,,,e.castdirection = d != 1 ? 1 : -1;,,,
Roller Blade_downgraded,Dodge next attack,2,inflictself(DODGE); sfx(~_dodge~);,Quick Thinking,REQUIRE1,,PINK,,,,_metals,0,YES,NO,,,,,,,,,,,,,
Blessing Machine,Choose a blessing,1,if (!simulation) runscript(~megaquest/choicemenu~[;] [~[mana] Choose your blessing [mana]~[;] [{name: ~~[;] description: [~[shield]4_shield~[;] ~Block incoming damage~][;] colour: ~ORANGE~[;] script: ~inflictself(SHIELD[;] 4); sfx(\~_shield\~);~}[;] {name: ~~[;] description: [~[fury]Fury~[;] ~Repeat next attack~][;] colour: ~RED~[;] script: ~inflictself(FURY); sfx(\~_fury\~);~}[;] {name: ~~[;] description: [~[reduce]2_reduce~[;] ~Less damage from attacks~][;] colour: ~ORANGE~[;] script: ~inflictself(REDUCE[;] 2); sfx(\~_reduce\~);~}[;] {name: ~~[;] description: [~[recycle]Re-Equip_Next~[;] ~Extra equipment use~][;] colour: ~GREEN~[;] script: ~inflictself(REEQUIPNEXT); sfx(\~_recycle\~);~}[;] {name: ~~[;] description: [~[dodge]Dodge~[;] ~Avoid next attack~][;] colour: ~YELLOW~[;] script: ~inflictself(DODGE); sfx(\~_dodge\~);~}][;] self[;] e.castdirection]); else bonus(1000);,Power Up,COUNTDOWN,24,PINK,halfcountdown,change_power,,none,0,YES,NO,excludefromrandomlists|curseavoid,,,,,,,,,delay(1.0);,,,
Blessing Machine_downgraded,Gain a random blessing,1,if (!simulation) runscript(~megaquest/delaycall~[;] [function (args) {new elements.Skill(~Power Up~).execute(args[0][;] args[1]);}[;] 1 / 60[;] self[;] target]); else bonus(1000);,Power Up,COUNTDOWN,24,PINK,,,,none,0,YES,NO,excludefromrandomlists|curseavoid,,,,,,,,,,,,
Blightning Rod,Do [shock]3 damage[;] has 100%|chance to trigger curse,1,attack(3[;] SHOCK); sfxdamage(target[;] 3);,Static Shock,COUNTDOWN,6,GRAY,change_power,change_power,,_shock,0,NO,NO,,,,,,,,,,runscript(~megaquest/delaycall~[;] [function (args) {Rules.curseodds = args[0];}[;] 0[;] Rules.curseodds]); Rules.curseodds = 100;,,,
Blightning Rod_upgraded,Inflict [curse]<var:blightning_rod_curses> curses|Passively absorbs curses,1,inflict(CURSE[;] !simulation ? self.getvar(~blightning_rod_curses~) : 1);,Static Shock,COUNTDOWN,6,GRAY,,,,_curse,0,NO,NO,,,,,,if (getstatusself(CURSE) > 0) {self.setvar(~blightning_rod_curses~[;] self.getvar(~blightning_rod_curses~) + getstatusself(CURSE)); removestatusself(CURSE[;] ALL); e.animate(~flashandshake~); runscript(~megaquest/textparticle~[;] [e[;] ~[star] Absorbed!~[;] 0xFFFFFF]); sfx(~_shock~);},,,,,,,
Blightning Rod_downgraded,Do [shock]1 damage[;] has 100%|chance to trigger curse,1,attack(3[;] SHOCK); sfxdamage(target[;] 3);,Static Shock,COUNTDOWN,6,GRAY,change_power,change_power,,_shock,0,NO,NO,,,,,,,,,,runscript(~megaquest/delaycall~[;] [function (args) {Rules.curseodds = args[0];}[;] 0[;] Rules.curseodds]); Rules.curseodds = 100;,,,
Lightmare,In [jinx]<d6> turns[;]|roll <d6> more dice,1,jinx(~Lightmare~[;] ~roll %VAR% more dice~[;] ~Roll %VAR% more dice~[;] ~target.bonusdice += %VAR%; sfx(\~magic_gaindice\~);~[;] self[;] target[;] d[;] d);,Magic Dice,NORMAL,,PINK,change_power,change_power,,_thinghappens,0,YES,NO,,,,,,,,,,,,,
Lightmare_upgraded,In [jinx]<d6> turns[;]|roll <double> more dice,1,jinx(~Lightmare+~[;] ~roll %VAR% more dice~[;] ~Roll %VAR% more dice~[;] ~target.bonusdice += %VAR%; sfx(\~magic_gaindice\~);~[;] self[;] target[;] d[;] d * 2);,Magic Dice,NORMAL,,PINK,,,,_thinghappens,0,YES,NO,,,,,,,,,,,,,
Lightmare_downgraded,In [jinx]<d6> turns[;]|roll 1 more dice,1,jinx(~Lightmare-~[;] ~roll %VAR% more dice~[;] ~Roll %VAR% more dice~[;] ~target.bonusdice += %VAR%; sfx(\~magic_gaindice\~);~[;] self[;] target[;] d[;] 1);,Magic Dice,NORMAL,,PINK,,,,_thinghappens,0,YES,NO,,,,,,,,,,,,,
Heavy Rapier,Do [sword]<d6> damage|Disable for 1 turn,2,attack(d); sfxdamage(target[;] d); if (!simulation) runscript(~megaquest/equipmentcooldown~[;] [e[;] 1[;] self]);,Magic Dice,ODD|FREE5,,RED,change_power,change_power,,_metals,0,NO,NO,,,,,,,,,,,,,
Heavy Rapier_upgraded,Do [sword]<d6> damage,2,attack(d); sfxdamage(target[;] d);,Magic Dice,ODD|FREE5,,RED,,,,_metals,0,NO,NO,,,,,,,,,,,,,
Heavy Rapier_downgraded,Do [sword]<d6> damage|Disable for 2 turns,2,attack(d); sfxdamage(target[;] d); if (!simulation) runscript(~megaquest/equipmentcooldown~[;] [e[;] 2[;] self]);,Magic Dice,ODD|FREE5,,RED,,,,_metals,0,NO,NO,,,,,,,,,,,,,
Flying Shield,Add [shield]<double> shield|Disable for 1 turn,1,inflictself(SHIELD[;] d * 2); if (!simulation) runscript(~megaquest/equipmentcooldown~[;] [e[;] 1[;] self]);,Protection,MAX3,,ORANGE,change_power,change_power,,_shield,0,YES,NO,,,,,,,,,,,,,
Flying Shield_upgraded,Add [shield]<d6> shield|Disable for 1 turn,1,inflictself(SHIELD[;] d); if (!simulation) runscript(~megaquest/equipmentcooldown~[;] [e[;] 1[;] self]);,Protection,MAX3|FREE3,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Flying Shield_downgraded,Add [shield]<d6> shield|Disable for 1 turn,1,inflictself(SHIELD[;] d); if (!simulation) runscript(~megaquest/equipmentcooldown~[;] [e[;] 1[;] self]);,Protection,MAX3,,ORANGE,,,,_shield,0,YES,NO,,,,,,,,,,,,,
Fortress Button,Add [shield]6 shield|[gray](once per battle),1,inflictself(SHIELD[;] 6);,Barricade,ODD,,ORANGE,change_power,doublerequirements,,_shield,0,YES,YES,,,,,,,,,,,,,
Fortress Button_upgraded,Add [shield]8 shield|[gray](once per battle),1,inflictself(SHIELD[;] 8);,Barricade,ODD,,ORANGE,,,,_shield,0,YES,YES,,,,,,,,,,,,,
Mining Drone,Do [weaken]<d6> damage|(Start of turn: Weaken [weaken]1[]),1,attack(d[;] WEAKEN); sfxdamage(target[;] d);,Barricade,MAX3,,ORANGE,increaserange,complicate,,_weaken,0,NO,NO,,,,,,inflict(WEAKEN); sfx(~_weaken~); e.animate(~flashandshake~);,,,,,,,
Cassette Flip,[weaken]<d6> dmg + [weaken]1 weaken|Flip random dice,1,attack(d[;] WEAKEN); sfxdamage(target[;] d); inflict(WEAKEN); var dice = []; if (self.dicepool.length > 0) for (mydice in self.dicepool) if (simulation # mydice.available()) dice.push(mydice); if (dice.length > 0) {var mydice = rand(dice); if (!simulation) mydice.animatereroll(7 - mydice.basevalue[;] self.screenposition()); else mydice.basevalue = 7 - mydice.basevalue;},Megaflip,MAX3,,ORANGE,increaserange,decreaserange,,_weaken,0,NO,NO,,,,,,,,,,delay(1.0);,,,
Nanobots,[shock]<double> dmg + [shock]1 shock|[gray](Reuseable),1,attack(d * 2[;] SHOCK); sfxdamage(target[;] d * 2); inflict(SHOCK);,Zap,REQUIRE1,,YELLOW,increaserange,doublerequirements,,_shock,-1,NO,NO,,,,,,,,,,,,,
Gigabots,[shock]<quadruple> dmg + [shock]4 shock|[gray](Reuseable),2,attack(d * 4[;] SHOCK); sfxdamage(target[;] d * 4); inflict(SHOCK[;] 4);,Zap,REQUIRE1|REQUIRE1|REQUIRE1|REQUIRE1,,YELLOW,increaserange,change_power,,_shock,-1,NO,NO,,,,,,,,,,,,,
Gigabots_downgraded,[shock]<double> dmg + [shock]2 shock|[gray](Reuseable),2,attack(d * 2[;] SHOCK); sfxdamage(target[;] d * 2); inflict(SHOCK[;] 2);,Zap,REQUIRE1|REQUIRE1|REQUIRE1|REQUIRE1,,YELLOW,,,,_shock,-1,NO,NO,,,,,,,,,,,,,
Cell Division,Inflict [poison]1[][;] roll a 2|[gray](Reuseable),1,inflict(POISON); givedice(2);,Poison Arrow,REQUIRE1,,PURPLE,change_power,change_power,,_poison,3,NO,NO,,,,,,,,,,,,,
Cell Division_upgraded,Inflict [poison]2[][;] roll two 1s|[gray](Reuseable),1,inflict(POISON[;] 2); givedice([1[;] 1]);,Poison Arrow,REQUIRE1,,PURPLE,,,,_poison,3,NO,NO,,,,,,,,,,,,,
Cell Division_downgraded,Inflict [poison]1 poison|[gray](Reuseable),1,inflict(POISON);,Poison Arrow,REQUIRE1,,PURPLE,,,,_poison,3,NO,NO,,,,,,,,,,,,,
Disc Gun,Do [sword]3 to both|[gray](Reuseable),1,attack(3); sfxdamage(target[;] 3); boomerang(3);,Pea Gun,COUNTDOWN,3,GRAY,change_power,change_power,,_metals,-1,NO,NO,,,,,,,,,,,,,
Disc Gun_upgraded,Do [sword]5 to both|[gray](Reuseable),1,attack(5); sfxdamage(target[;] 5); boomerang(5);,Pea Gun,COUNTDOWN,3,GRAY,,,,_metals,-1,NO,NO,,,,,,,,,,,,,
Disc Gun_downgraded,Do [sword]1 to both|[gray](Reuseable),1,attack(1); sfxdamage(target[;] 1); boomerang(1);,Pea Gun,COUNTDOWN,3,GRAY,,,,_metals,-1,NO,NO,,,,,,,,,,,,,
Andromeda Launcher,Delete the enemy|[gray](once per battle),2,if (!simulation) {var actMoveDown = new motion.actuators.SimpleActuator(target[;] 0.5[;] {y: target.y + 500}); var funcMoveDownComplete = new hscript.Parser().parseString(~target.y -= 1500; var actMoveUp = new motion.actuators.SimpleActuator(target[;] 0.5[;] {y: target.y + 1500}); actMoveUp.reverse(true); actMoveUp.onComplete(interp.execute[;] [funcMoveUpComplete]); actMoveUp.move();~); var funcMoveUpComplete = new hscript.Parser().parseString(~switchenemy(target[;] \~_\~); var actFixLevel = new motion.actuators.SimpleActuator(null[;] 1[;] null); function fixLevel(fighter[;] level) fighter.level = level; actFixLevel.onComplete(fixLevel[;] [target[;] target.level]); actFixLevel.move(); target.maxhp = 1; target.hp = 1; var statuses = target.status.copy(); if (statuses.length > 0) for (status in statuses) target.removestatus(status.type);~); var interp = new hscript.Interp(); interp.variables.set(~target~[;] target); interp.variables.set(~switchenemy~[;] switchenemy); interp.variables.set(~interp~[;] interp); interp.variables.set(~funcMoveUpComplete~[;] funcMoveUpComplete); actMoveDown.onComplete(interp.execute[;] [funcMoveDownComplete]); actMoveDown.move();} else pierceattack(target.hp);,Underflow,COUNTDOWN,40,PURPLE,threequartercountdown,change_power,,_andromeda,0,NO,YES,,,,,,,,,,,,,
Andromeda Launcher_downgraded,-1 dice to enemy|[gray](once per battle),2,if (!simulation) {var mydice = new elements.Dice(); mydice.basevalue = rand([1[;] 2[;] 3[;] 4[;] 5[;] 6]); mydice.x = 3840 - 400; mydice.y = -100; self.dicepool.push(mydice); mydice.frozen = true; var actMoveDown = new motion.actuators.SimpleActuator(mydice[;] 0.5[;] {y: mydice.y + 500}); var funcMoveDownComplete = new hscript.Parser().parseString(~mydice.y -= 1000; var actMoveUp = new motion.actuators.SimpleActuator(mydice[;] 0.5[;] {y: mydice.y + 1000}); actMoveUp.reverse(true); actMoveUp.onComplete(interp.execute[;] [funcMoveUpComplete]); actMoveUp.move();~); var funcMoveUpComplete = new hscript.Parser().parseString(~new elements.Skill(\~mqreducedice_op\~).execute(self[;] target); mydice.consumedice(); mydice.consumenow(); screenshake();~); var interp = new hscript.Interp(); interp.variables.set(~self~[;] self); interp.variables.set(~target~[;] target); interp.variables.set(~mydice~[;] mydice); interp.variables.set(~screenshake~[;] screenshake); interp.variables.set(~interp~[;] interp); interp.variables.set(~funcMoveUpComplete~[;] funcMoveUpComplete); actMoveDown.onComplete(interp.execute[;] [funcMoveDownComplete]); actMoveDown.move();} else bonus(1000);,Underflow,COUNTDOWN,40,PURPLE,,,,_andromeda,0,NO,YES,,,,,,,,,,,,,
Strawberry,Roll a 1000|[gray](once per game),1,givedice([1000]); if (!simulation) {runscript(~megaquest/specialdice~[;] [self]); e.temporary_thisturnonly = true;},Magic Six,COUNTDOWN,40,RED,halfcountdown,change_power,,_strawberry,0,YES,NO,,,,,,,,,,,,,
Strawberry_downgraded,Roll a 6,1,givedice(6);,Magic Six,COUNTDOWN,40,RED,,,,none,0,YES,NO,,,,,,,,,,,,,
Mystic Sword,Do [sword]<d6> damage[;] on 6[;]|run a random item effect,2,attack(d); sfxdamage(target[;] d); if (d == 6) {sfx(~useitem~); if (!simulation) {var eq = new elements.Equipment(rand(getequipmentlist(null[;] [][;] [~skillcard~[;] ~excludefromrandomlists~[;] ~robotonly~[;] ~witchonly~[;] ~onceperbattle~[;] ~alternateversion~]))); eq.temporary_thisturnonly = true; eq.equippedby = self; eq.x = e.x; eq.y = 2180 / 2 - eq.height / 2; eq.ready = false; eq.equipalpha = 0; runscript(~megaquest/fadeequipment~[;] [eq[;] 1[;] 1]); self.equipment.push(eq); runscript(~megaquest/delaycall~[;] [function (args) {args[0].ready = true; runscript(~megaquest/snap~[;] args);}[;] 1.0[;] eq[;] self[;] target[;] false]);} else bonus(1000);},Stardust,MIN4,,YELLOW,simplify,complicate,,none,0,NO,NO,,,,,,,,,,,,,
Daybreak,Do [fire]<d6> damage[;] on 6[;]|burn [fire]ALL instead,2,if (d != 6) {attack(d[;] FIRE); sfxdamage(target[;] d);} else inflict(FIRE[;] ALL);,Hellfire,NORMAL,,RED,change_power,change_power,,_fire,0,NO,NO,,,,,,,,,,,,,
Daybreak_upgraded,Do [fire]<d6> damage[;] on 6[;]|burn [fire]ALL dice,2,attack(d[;] FIRE); sfxdamage(target[;] d); if (d == 6) inflict(FIRE[;] ALL);,Hellfire,NORMAL,,RED,,,,_fire,0,NO,NO,,,,,,,,,,,,,
Daybreak_downgraded,Do [sword]<d6> damage,2,attack(d); sfxdamage(target[;] d);,Hellfire,NORMAL,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Sparklesword,Do [sword]<d6> damage|On 6[;] split dice,2,attack(d); sfxdamage(target[;] d); if (d == 6) givedice(split(d)[;] ~splitdice~);,Magic Lockpick,NORMAL,,YELLOW,change_power,change_power,,none,0,NO,NO,,,,,,,,,,,,,
Sparklesword_upgraded,Do [sword]<d6> damage|Split the dice,2,attack(d); sfxdamage(target[;] d); givedice(split(d)[;] ~splitdice~);,Magic Lockpick,NORMAL,,YELLOW,,,,none,0,NO,NO,,,,,,,,,,,,,
Sparklesword_downgraded,Do [sword]<d6> damage|On 1[;] split dice,2,attack(d); sfxdamage(target[;] d); if (d == 1) givedice(split(d)[;] ~splitdice~);,Magic Lockpick,NORMAL,,YELLOW,,,,none,0,NO,NO,,,,,,,,,,,,,
Goldweaver,Do [sword]<d6> damage|Gain [gold]1 gold if|used on turn 3,2,attack(d); sfxdamage(target[;] d); if (turn == 3) {self.gold++; screenshake(); sfx(~stealgold~);},Harvest,EVEN,,YELLOW,change_power,change_power,,_metals,0,NO,NO,showgold,,,,,,,,,,,,
Goldweaver_upgraded,Do [sword]<d6> damage|Gain [gold]1 gold if|used on turn 2,2,attack(d); sfxdamage(target[;] d); if (turn == 2) {self.gold++; screenshake(); sfx(~stealgold~);},Harvest,EVEN,,YELLOW,,,,_metals,0,NO,NO,showgold,,,,,,,,,,,,
Goldweaver_downgraded,Do [sword]<d6> damage|Gain [gold]1 gold if|used on turn 4,2,attack(d); sfxdamage(target[;] d); if (turn == 4) {self.gold++; screenshake(); sfx(~stealgold~);},Harvest,EVEN,,YELLOW,,,,_metals,0,NO,NO,showgold,,,,,,,,,,,,
Creoreflections,In [jinx]<d6> turns[;]|roll two <d6>s,1,jinx(~Creoreflections~[;] ~roll two %VAR%s~[;] ~Roll two %VAR%s~[;] ~inflict(\~stash\~ + %VAR%[;] 2); sfx(\~magic_gaindice\~);~[;] self[;] target[;] d[;] d);,Clone Device,NORMAL,,PINK,change_power,change_power,,_thinghappens,0,YES,NO,,,,,,,,,,,,,
Creoreflections_upgraded,In [jinx]<d6> turns[;]|roll three <d6>s,1,jinx(~Creoreflections+~[;] ~roll three %VAR%s~[;] ~Roll three %VAR%s~[;] ~inflict(\~stash\~ + %VAR%[;] 3); sfx(\~magic_gaindice\~);~[;] self[;] target[;] d[;] d);,Clone Device,NORMAL,,PINK,,,,_thinghappens,0,YES,NO,,,,,,,,,,,,,
Creoreflections_downgraded,In [jinx]<d6> turns[;]|roll one <d6>,1,jinx(~Creoreflections-~[;] ~roll one %VAR%s~[;] ~Roll one %VAR%s~[;] ~inflict(\~stash\~ + %VAR%); sfx(\~magic_gaindice\~);~[;] self[;] target[;] d[;] d);,Clone Device,NORMAL,,PINK,,,,_thinghappens,0,YES,NO,,,,,,,,,,,,,
